,num_vertices,num_edges,init_subcircuit_time,num_embeddings,embeddings_time,best_dist,num_gates,best_dist_per_gate,best_dist_time
0,14,14,0.0908 s,1248,0.0653 s,110,104,1.0576923076923077,0.781 s
1,3,3,0.00177 s,144,0.00155 s,17,17,1.0,0.018 s
2,5,5,0.00385 s,432,0.00265 s,135,99,1.3636363636363635,0.265 s
3,5,5,0.00401 s,432,0.0028 s,88,66,1.3333333333333333,0.196 s
4,5,5,0.00196 s,68,0.0013 s,19,18,1.0555555555555556,0.0151 s
5,5,5,0.00139 s,68,0.00101 s,14,14,1.0,0.00908 s
6,4,4,0.00173 s,420,0.00493 s,9,9,1.0,0.0499 s
7,6,6,0.0194 s,432,0.00602 s,138,116,1.1896551724137931,0.473 s
8,6,6,0.0107 s,432,0.00292 s,132,112,1.1785714285714286,0.303 s
9,6,6,0.00354 s,536,0.00382 s,110,86,1.2790697674418605,0.302 s
10,5,5,0.00168 s,68,0.00122 s,130,100,1.3,0.0414 s
11,5,5,0.0031 s,432,0.0627 s,30,30,1.0,0.0809 s
12,5,5,0.0041 s,432,0.00296 s,65,53,1.2264150943396226,0.149 s
13,5,5,0.00503 s,432,0.00371 s,59,49,1.2040816326530612,0.154 s
14,5,5,0.00366 s,432,0.0054 s,30,30,1.0,0.155 s
15,6,6,0.0045 s,536,0.00574 s,164,113,1.4513274336283186,0.567 s
16,5,5,0.00186 s,276,0.00247 s,98,179,0.547486033519553,0.184 s
17,6,6,0.0116 s,432,0.00273 s,132,109,1.2110091743119267,0.309 s
18,6,6,0.0116 s,432,0.00313 s,126,105,1.2,0.292 s
19,6,6,0.00281 s,96,0.00214 s,103,79,1.3037974683544304,0.0497 s
20,6,6,0.00333 s,432,0.00273 s,165,119,1.3865546218487395,0.332 s
21,5,5,0.0018 s,68,0.00128 s,50,38,1.3157894736842106,0.0194 s
22,5,5,0.00169 s,276,0.0541 s,51,46,1.108695652173913,0.0819 s
23,5,5,0.00887 s,432,0.00365 s,68,58,1.1724137931034482,0.165 s
24,7,7,0.00292 s,840,0.00515 s,36,31,1.1612903225806452,0.169 s
25,5,5,0.00253 s,276,0.0026 s,39,31,1.2580645161290323,0.0566 s
26,5,5,0.00161 s,276,0.0023 s,16,16,1.0,0.0305 s
27,5,5,0.000953 s,1088,0.00605 s,10,10,1.0,0.0724 s
28,5,5,0.00112 s,1088,0.00666 s,11,11,1.0,0.0763 s
29,5,5,0.00223 s,276,0.0028 s,40,32,1.25,0.0578 s
30,5,5,0.00154 s,276,0.00245 s,16,16,1.0,0.0347 s
31,5,5,0.0061 s,432,0.00272 s,88,72,1.2222222222222223,0.196 s
32,5,5,0.0022 s,276,0.00237 s,92,72,1.2777777777777777,0.142 s
33,11,11,0.0306 s,2000,0.0155 s,22474,15232,1.4754464285714286,194 s
34,9,9,0.0212 s,1312,0.0106 s,1821,1498,1.2156208277703604,11 s
35,5,5,0.00243 s,276,0.00258 s,82,69,1.1884057971014492,0.121 s
36,6,6,0.00355 s,984,0.0067 s,38,38,1.0,0.212 s
37,5,5,0.00177 s,68,0.00162 s,20,18,1.1111111111111112,0.0106 s
38,5,5,0.00175 s,68,0.000991 s,19,17,1.1176470588235294,0.0102 s
39,8,8,0.00526 s,1296,0.0078 s,381,283,1.3462897526501767,2.34 s
40,9,9,0.161 s,2000,0.0151 s,631,415,1.5204819277108435,5.3 s
41,4,4,0.00268 s,144,0.00226 s,23,23,1.0,0.0249 s
42,3,3,0.000978 s,144,0.00105 s,9,9,1.0,0.0108 s
43,3,3,0.00121 s,144,0.00123 s,11,11,1.0,0.0141 s
44,5,5,0.015 s,276,0.00384 s,3395,10681,0.3178541335080985,6.6 s
45,8,8,0.0342 s,224,0.0047 s,38191,30372,1.2574410641380218,35.7 s
46,9,9,0.0453 s,2000,0.0973 s,6769,8232,0.8222789115646258,57.3 s
47,5,5,0.0016 s,68,0.00229 s,150,108,1.3888888888888888,0.0485 s
48,5,5,0.00233 s,432,0.00277 s,89,65,1.3692307692307693,0.175 s
49,5,5,0.00236 s,276,0.00291 s,34,32,1.0625,0.0668 s
50,7,7,0.0288 s,2000,0.0151 s,605,448,1.3504464285714286,5.85 s
51,7,7,0.00675 s,1296,0.00917 s,274,200,1.37,1.63 s
52,7,7,0.0203 s,112,0.00326 s,11490,9408,1.2213010204081634,5.3 s
53,11,11,0.0326 s,2000,0.0158 s,22474,15232,1.4754464285714286,195 s
54,9,9,0.0288 s,1792,0.0618 s,107,98,1.0918367346938775,0.968 s
