,architecture,circuit,num_gates,num_gates_allocated,num_gates_unallocated,sub_vertices,sub_edges,init_subcircuit_time,num_embeddings,embeddings_time,best_dist,best_embedding_efficiency,best_dist_time
0,IBM_Rochester,0410184_169,104,9,95,13,9,108 s,1000,0.0439 s,135,1.5,0.556 s
1,IBM_Rochester,3_17_13,17,4,13,3,2,0.000658 s,150,0.00152 s,18,1.38,0.0238 s
2,IBM_Rochester,4_49_16,99,3,96,5,3,0.00268 s,1000,0.0054 s,173,1.8,0.6 s
3,IBM_Rochester,4gt10-v1_81,66,3,63,5,3,0.00296 s,1000,0.00605 s,117,1.86,0.393 s
4,IBM_Rochester,4gt11_82,18,6,12,4,3,0.000844 s,180,0.00167 s,15,2.5,0.0204 s
5,IBM_Rochester,4gt11_83,14,6,8,4,3,0.0012 s,180,0.00142 s,9,3,0.0135 s
6,IBM_Rochester,4gt11_84,9,2,7,3,2,0.00047 s,150,0.00116 s,7,1.4,0.0208 s
7,IBM_Rochester,4gt12-v0_86,116,9,107,5,4,0.00139 s,68,0.000661 s,114,1.48,0.0439 s
8,IBM_Rochester,4gt12-v0_87,112,9,103,5,4,0.00158 s,68,0.000637 s,108,1.46,0.0434 s
9,IBM_Rochester,4gt12-v0_88,86,2,84,3,2,0.000567 s,150,0.00104 s,30,1.36,0.0479 s
10,IBM_Rochester,4gt12-v1_89,100,4,96,5,4,0.000738 s,234,0.00159 s,170,1.98,0.139 s
11,IBM_Rochester,4gt13-v1_93,30,5,25,5,3,0.00279 s,1000,0.00585 s,33,1.32,0.176 s
12,IBM_Rochester,4gt13_90,53,9,44,5,4,0.00117 s,68,0.00115 s,76,1.73,0.0305 s
13,IBM_Rochester,4gt13_91,49,9,40,5,4,0.00121 s,68,0.000648 s,68,1.7,0.0285 s
14,IBM_Rochester,4gt13_92,30,4,26,5,3,0.00262 s,1000,0.00554 s,34,1.31,0.19 s
15,IBM_Rochester,4gt4-v0_72,113,3,110,4,3,0.000645 s,180,0.00172 s,66,2.36,0.0575 s
16,IBM_Rochester,4gt4-v0_73,179,8,171,5,4,0.00119 s,234,0.00173 s,136,1.53,0.159 s
17,IBM_Rochester,4gt4-v0_78,109,7,102,5,4,0.00117 s,68,0.000754 s,117,1.54,0.0431 s
18,IBM_Rochester,4gt4-v0_79,105,7,98,5,4,0.00117 s,68,0.000546 s,111,1.52,0.0419 s
19,IBM_Rochester,4gt4-v0_80,79,2,77,3,2,0.000503 s,150,0.00101 s,19,1.12,0.0429 s
20,IBM_Rochester,4gt4-v1_74,119,2,117,3,2,0.000642 s,150,0.00106 s,43,1.65,0.0495 s
21,IBM_Rochester,4gt5_75,38,5,33,5,4,0.000797 s,234,0.00163 s,73,2.21,0.0616 s
22,IBM_Rochester,4gt5_76,46,8,38,5,4,0.00105 s,234,0.00184 s,66,1.74,0.0708 s
23,IBM_Rochester,4gt5_77,58,5,53,5,4,0.00107 s,68,0.000828 s,81,1.53,0.0328 s
24,IBM_Rochester,4mod5-bdd_287,31,3,28,4,3,0.0007 s,72,0.000631 s,5,1,0.0105 s
25,IBM_Rochester,4mod5-v0_18,31,2,29,3,2,0.000659 s,150,0.000997 s,13,1.44,0.0257 s
26,IBM_Rochester,4mod5-v0_19,16,3,13,4,3,0.000776 s,72,0.000745 s,10,1.25,0.0187 s
27,IBM_Rochester,4mod5-v0_20,10,5,5,5,4,0.000722 s,68,0.000594 s,7,1.4,0.00915 s
28,IBM_Rochester,4mod5-v1_22,11,4,7,5,4,0.000645 s,68,0.000653 s,9,1.29,0.01 s
29,IBM_Rochester,4mod5-v1_23,32,2,30,3,2,0.000444 s,150,0.000983 s,16,1.45,0.0279 s
30,IBM_Rochester,4mod5-v1_24,16,3,13,5,3,0.00264 s,1000,0.00558 s,23,1.77,0.0823 s
31,IBM_Rochester,4mod7-v0_94,72,3,69,5,3,0.00318 s,1000,0.00686 s,123,1.78,0.452 s
32,IBM_Rochester,4mod7-v1_96,72,2,70,3,2,0.000531 s,150,0.00175 s,34,1.21,0.045 s
33,IBM_Rochester,9symml_195,15232,5,15227,9,5,23.7 s,1000,0.00553 s,33119,2.65,77.4 s
34,IBM_Rochester,adr4_197,1498,3,1495,5,3,0.00427 s,1000,0.0595 s,661,1.52,3.58 s
35,IBM_Rochester,aj-e11_165,69,4,65,4,3,0.000708 s,180,0.00198 s,73,1.55,0.0688 s
36,IBM_Rochester,alu-bdd_288,38,4,34,6,4,0.00451 s,1000,0.00591 s,47,1.62,0.196 s
37,IBM_Rochester,alu-v1_28,18,5,13,4,3,0.000818 s,180,0.00291 s,13,1.86,0.0315 s
38,IBM_Rochester,alu-v1_29,17,4,13,4,3,0.000634 s,180,0.00154 s,13,1.86,0.0236 s
39,IBM_Rochester,cm82a_208,283,2,281,3,2,0.000726 s,150,0.00121 s,29,1.16,0.0682 s
40,IBM_Rochester,con1_216,415,4,411,6,4,0.00484 s,1000,0.00699 s,314,1.87,1.31 s
41,IBM_Rochester,decod24-v0_38,23,2,21,3,2,0.000472 s,150,0.0016 s,21,1.24,0.0344 s
42,IBM_Rochester,ex-1_166,9,2,7,3,2,0.00056 s,150,0.0635 s,9,1.29,0.0215 s
43,IBM_Rochester,ham3_102,11,2,9,3,2,0.000435 s,150,0.00165 s,11,1.22,0.0235 s
44,IBM_Rochester,hwb7_59,10681,2,10679,3,2,0.0111 s,150,0.00122 s,1197,1.26,2.06 s
45,IBM_Rochester,hwb8_113,30372,3,30369,5,3,0.0315 s,1000,0.00608 s,16489,1.87,70.5 s
46,IBM_Rochester,mlp4_245,8232,4,8228,6,4,0.0142 s,1000,0.00629 s,3096,2.23,13.8 s
47,IBM_Rochester,mod10_171,108,4,104,5,4,0.00076 s,234,0.00218 s,207,1.99,0.161 s
48,IBM_Rochester,one-two-three-v0_98,65,5,60,5,3,0.00291 s,1000,0.00594 s,104,1.73,0.409 s
49,IBM_Rochester,one-two-three-v3_101,32,4,28,5,4,0.000629 s,68,0.00133 s,40,1.43,0.0222 s
50,IBM_Rochester,rd53_130,448,3,445,5,3,0.00304 s,1000,0.00548 s,388,1.73,1.6 s
51,IBM_Rochester,rd53_131,200,4,196,7,4,0.226 s,1000,0.00614 s,456,2.33,1.23 s
52,IBM_Rochester,sym9_148,9408,4,9404,7,4,0.239 s,1000,0.00607 s,15218,2.1,44.5 s
53,IBM_Rochester,sym9_193,15232,5,15227,9,5,23.8 s,1000,0.00612 s,33119,2.65,78.7 s
54,IBM_Rochester,sys6-v0_111,98,2,96,3,2,0.000537 s,150,0.00201 s,10,1.25,0.0331 s
